t,value
1655423430,0
1655423460,0
1655423490,0
1655423550,0
1655423581,0
1655423640,0
1655423790,0
1655423821,0
1655423851,0
1655423881,1
1655423911,1
1655423941,1
1655423971,1
1655424001,1
1655424031,1
1655424061,1
1655424091,1
1655424121,1
1655424151,1
1655424181,1
1655424211,1
1655424241,1
1655424271,1
1655424301,1
1655424332,1
1655424362,1
1655424392,1
1655424422,1
1655424452,1
1655424482,1
1655424512,1
1655424542,1
1655424572,1
1655424602,1
1655424632,1
1655424662,1
1655424930,1
1655424960,1
1655424990,1
1655425020,1
1655425050,1
1655425080,1
1655425110,1
1655425650,1
1655425680,1
